Date,AAPL.Close,TSLA.Close,^NSEI.Close,AAPL.High,TSLA.High,^NSEI.High,AAPL.Low,TSLA.Low,^NSEI.Low,AAPL.Open,TSLA.Open,^NSEI.Open,AAPL.Volume,TSLA.Volume,^NSEI.Volume
2025-06-25,200.76353454589844,327.54998779296875,25244.75,202.8651975026319,343.0,25266.80078125,199.82724651799433,320.3999938964844,25125.05078125,200.65396860223956,342.70001220703125,25150.349609375,39525700.0,119845100.0,260600.0
2025-06-26,200.20574951171875,325.7799987792969,25549.0,201.8392684520338,331.04998779296875,25565.30078125,198.67184150130464,323.6099853515625,25259.900390625,200.63404307360597,324.6099853515625,25268.94921875,50799100.0,80440900.0,428900.0
2025-06-27,200.28543090820312,323.6300048828125,25637.80078125,202.41697405518968,329.3399963378906,25654.19921875,199.20969672208463,317.5,25523.55078125,201.09222774816857,324.510009765625,25576.650390625,73188600.0,89067000.0,564000.0
2025-06-30,204.3592529296875,317.6600036621094,25517.05078125,206.57048164253425,325.5799865722656,25669.349609375,198.4726031076903,316.6000061035156,25473.30078125,201.211736268348,319.8999938964844,25661.650390625,91912800.0,76695100.0,271000.0
2025-07-01,206.99879455566406,300.7099914550781,25541.80078125,209.35942450018746,305.8900146484375,25593.400390625,205.3254252695324,293.2099914550781,25501.80078125,205.85332972802502,298.4599914550781,25551.349609375,78788900.0,145085700.0,260700.0
2025-07-02,211.60052490234375,315.6499938964844,25453.400390625,212.4969623845337,316.8299865722656,25608.099609375,207.31751373506327,303.82000732421875,25378.75,208.08447525999887,312.6300048828125,25588.30078125,67941800.0,119483700.0,309800.0
2025-07-03,212.70616149902344,315.3500061035156,25405.30078125,213.80180573654258,318.45001220703125,25587.5,210.97303162710094,312.760009765625,25384.349609375,211.31168447150716,317.989990234375,25505.099609375,34955800.0,58042300.0,293400.0
2025-07-04,,,25461.0,,,25470.25,,,25331.650390625,,,25428.849609375,,,193500.0
2025-07-07,209.12037658691406,293.94000244140625,25461.30078125,215.37555986284275,296.1499938964844,25489.80078125,207.97492690746134,288.7699890136719,25407.25,211.83958469799765,291.3699951171875,25450.44921875,50229000.0,131177900.0,196100.0
2025-07-08,209.18014526367188,297.80999755859375,25522.5,210.59453234535175,304.04998779296875,25548.05078125,207.62631199643187,294.3500061035156,25424.150390625,209.26980118177752,297.0,25427.849609375,42848900.0,103246700.0,210400.0
